"","assessid","bioid","biovalue","bioyear","bionotes"
"1","IMARPE-PANCHPERUNC-1963-2004-RICARD","REC-AGE-yr","0","2009",""
"2","CSIRO-BIGHTREDSE-1958-2007-FULTON","SSB-SEX-sex","0","NULL",""
"3","CSIRO-BIGHTREDSE-1958-2007-FULTON","REC-AGE-yr","0","NULL",""
"4","CSIRO-BIGHTREDSE-1958-2007-FULTON","REC-ESTIMATED-yr-yr","NA (always models)","NULL",""
"5","CSIRO-BIGHTREDSE-1958-2007-FULTON","TB-TYPE-0-1","0","NULL",""
"6","CSIRO-BIGHTREDSE-1958-2007-FULTON","TB-AGE-yr","0","NULL",""
"7","CSIRO-BIGHTREDSE-1958-2007-FULTON","MAT-SEX-sex","0","NULL",""
"8","CSIRO-BIGHTREDSE-1958-2007-FULTON","MAT-MODEL-option","logistic","2007",""
"9","CSIRO-BIGHTREDSE-1958-2007-FULTON","MAT-SLOPE-dimensionless","-0.5","2007",""
"10","CSIRO-BIGHTREDSE-1958-2007-FULTON","Habitat-Habitat","Demersal marine","NULL",""
"11","CSIRO-BIGHTREDSE-1958-2007-FULTON","L50-cm","25","2007",""
"12","CSIRO-BIGHTREDSE-1958-2007-FULTON","LEN-SEX-sex","0","2007",""
"13","CSIRO-BIGHTREDSE-1958-2007-FULTON","Linf-cm","38.45","2007",""
"14","CSIRO-BIGHTREDSE-1958-2007-FULTON","LW-a-kg/cm","0.144","2007",""
"15","CSIRO-BIGHTREDSE-1958-2007-FULTON","LW-b-dimensionless","2.522","2007",""
"16","CSIRO-BIGHTREDSE-1958-2007-FULTON","M-1/yr","0.1","2007",""
"17","CSIRO-BIGHTREDSE-1958-2007-FULTON","MAX-AGE-yr","65","2007",""
"18","CSIRO-BIGHTREDSE-1958-2007-FULTON","VB-k-cm/T","0.108","2007",""
"19","CSIRO-BIGHTREDSE-1958-2007-FULTON","VB-t0-yr","0","2007",""
"20","CSIRO-BIGHTREDSE-1958-2007-FULTON","Blim-MT","6766.72","2007",""
"21","CSIRO-BIGHTREDSE-1958-2007-FULTON","SSBmsy-MT","16240.128","2007",""
"22","CSIRO-NZLINGESE-1968-2007-FULTON","SSB-SEX-sex","1","NULL",""
"23","CSIRO-NZLINGESE-1968-2007-FULTON","REC-AGE-yr","0","NULL",""
"24","CSIRO-NZLINGESE-1968-2007-FULTON","REC-ESTIMATED-yr-yr","NA (always models)","NULL",""
"25","CSIRO-NZLINGESE-1968-2007-FULTON","TB-TYPE-0-1","0","NULL",""
"26","CSIRO-NZLINGESE-1968-2007-FULTON","TB-AGE-yr","0","NULL",""
"27","CSIRO-NZLINGESE-1968-2007-FULTON","A50-yr","3","2005",""
"28","CSIRO-NZLINGESE-1968-2007-FULTON","MAT-SEX-sex","1","NULL",""
"29","CSIRO-NZLINGESE-1968-2007-FULTON","MAT-MODEL-option","logistic","2007",""
"30","CSIRO-NZLINGESE-1968-2007-FULTON","MAT-SLOPE-dimensionless","-3","2007",""
"31","CSIRO-NZLINGESE-1968-2007-FULTON","Habitat-Habitat","Demersal marine","NULL",""
"32","CSIRO-NZLINGESE-1968-2007-FULTON","L50-cm","30","2007",""
"33","CSIRO-NZLINGESE-1968-2007-FULTON","LEN-SEX-sex","1","NULL",""
"34","CSIRO-NZLINGESE-1968-2007-FULTON","Linf-cm","103.355","2005",""
"35","CSIRO-NZLINGESE-1968-2007-FULTON","LW-a-kg/cm","0.00293","2004",""
"36","CSIRO-NZLINGESE-1968-2007-FULTON","LW-b-dimensionless","3.139","2004",""
"37","CSIRO-NZLINGESE-1968-2007-FULTON","M-1/yr","0.2","2005",""
"38","CSIRO-NZLINGESE-1968-2007-FULTON","MAX-AGE-yr","30","2005",""
"39","CSIRO-NZLINGESE-1968-2007-FULTON","MAX-LEN-cm","140","2005",""
"40","CSIRO-NZLINGESE-1968-2007-FULTON","VB-k-cm/T","0.166","2004",""
"41","CSIRO-NZLINGESE-1968-2007-FULTON","VB-t0-yr","3.139","2004",""
"42","NWFSC-COWCODSCAL-1900-2007-BRANCH","SSB-AGE-yr","11+","NULL",""
"43","CSIRO-NZLINGESE-1968-2007-FULTON","Blim-MT","1385.2","NULL",""
"44","CSIRO-NZLINGESE-1968-2007-FULTON","SSBmsy-MT","3324.48","NULL",""
"45","CSIRO-NZLINGESE-1968-2007-FULTON","Trophiclevel-value","5.11","NULL",""
"46","CSIRO-NZLINGWSE-1968-2007-FULTON","SSB-SEX-sex","1","NULL",""
"47","CSIRO-NZLINGWSE-1968-2007-FULTON","REC-AGE-yr","0","NULL",""
"48","CSIRO-NZLINGWSE-1968-2007-FULTON","REC-ESTIMATED-yr-yr","NA (always models)","NULL",""
"49","CSIRO-NZLINGWSE-1968-2007-FULTON","TB-TYPE-0-1","0","NULL",""
"50","CSIRO-NZLINGWSE-1968-2007-FULTON","TB-AGE-yr","0","NULL",""
"51","CSIRO-NZLINGWSE-1968-2007-FULTON","A50-yr","3","2005",""
"52","CSIRO-NZLINGWSE-1968-2007-FULTON","MAT-SEX-sex","1","NULL",""
"53","CSIRO-NZLINGWSE-1968-2007-FULTON","MAT-MODEL-option","logistic","2007",""
"54","CSIRO-NZLINGWSE-1968-2007-FULTON","MAT-SLOPE-dimensionless","-3","2007",""
"55","CSIRO-NZLINGWSE-1968-2007-FULTON","Habitat-Habitat","Demersal marine","NULL",""
"56","CSIRO-NZLINGWSE-1968-2007-FULTON","L50-cm","30","2007",""
"57","CSIRO-NZLINGWSE-1968-2007-FULTON","LEN-SEX-sex","1","NULL",""
"58","CSIRO-NZLINGWSE-1968-2007-FULTON","Linf-cm","103.355","2005",""
"59","CSIRO-NZLINGWSE-1968-2007-FULTON","LW-a-kg/cm","0.00293","2004",""
"60","CSIRO-NZLINGWSE-1968-2007-FULTON","LW-b-dimensionless","3.139","2004",""
"61","CSIRO-NZLINGWSE-1968-2007-FULTON","M-1/yr","0.2","2005",""
"62","CSIRO-NZLINGWSE-1968-2007-FULTON","MAX-AGE-yr","30","2005",""
"63","CSIRO-NZLINGWSE-1968-2007-FULTON","MAX-LEN-cm","140","2005",""
"64","CSIRO-NZLINGWSE-1968-2007-FULTON","VB-k-cm/T","0.166","2004",""
"65","CSIRO-NZLINGWSE-1968-2007-FULTON","VB-t0-yr","3.139","2004",""
"66","NWFSC-COWCODSCAL-1900-2007-BRANCH","SSB-SEX-sex","1","NULL",""
"67","CSIRO-NZLINGWSE-1968-2007-FULTON","Blim-MT","1407.318","NULL",""
"68","CSIRO-NZLINGWSE-1968-2007-FULTON","SSBmsy-MT","3377.5632","NULL",""
"69","CSIRO-NZLINGWSE-1968-2007-FULTON","Trophiclevel-value","5.11","NULL",""
"70","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","SSB-SEX-sex","1","NULL",""
"71","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","TB-TYPE-0-1","0","NULL",""
"72","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","TB-AGE-yr","0","NULL",""
"73","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","A50-yr","32","2001",""
"74","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Fecundity-N","10000","2003","90000 max"
"75","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","L50-cm","32","2001",""
"76","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","LEN-SEX-sex","0","2001",""
"77","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Linf-cm","60","2001",""
"78","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","LW-a-kg/cm","0.382","2001",""
"79","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","LW-b-dimensionless","2.3409","2001",""
"80","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","MAX-AGE-yr","150","2001",""
"81","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","MAX-LEN-cm","56","2001",""
"82","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","SSBlim-MT","5716.3","2006",""
"83","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","SSBpa-MT","13719.12","2006",""
"84","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","Trophiclevel-value","4.2","NULL",""
"85","CSIRO-OROUGHYSE-1978-2007-FULTON","SSB-AGE-yr","2","NULL",""
"86","CSIRO-OROUGHYSE-1978-2007-FULTON","SSB-SEX-sex","0","NULL",""
"87","CSIRO-OROUGHYSE-1978-2007-FULTON","TB-TYPE-0-1","0","NULL",""
"88","CSIRO-OROUGHYSE-1978-2007-FULTON","TB-AGE-yr","0","NULL",""
"89","CSIRO-OROUGHYSE-1978-2007-FULTON","A50-yr","32","2001",""
"90","CSIRO-OROUGHYSE-1978-2007-FULTON","Fecundity-N","10000","2003","90000 max"
"91","CSIRO-OROUGHYSE-1978-2007-FULTON","L50-cm","32","2001",""
"92","CSIRO-OROUGHYSE-1978-2007-FULTON","LEN-SEX-sex","0","2001",""
"93","CSIRO-OROUGHYSE-1978-2007-FULTON","Linf-cm","60","2001",""
"94","CSIRO-OROUGHYSE-1978-2007-FULTON","LW-a-kg/cm","0.033","2001",""
"95","CSIRO-OROUGHYSE-1978-2007-FULTON","LW-b-dimensionless","3.003","2001",""
"96","CSIRO-OROUGHYSE-1978-2007-FULTON","MAX-AGE-yr","150","2001",""
"97","CSIRO-OROUGHYSE-1978-2007-FULTON","MAX-LEN-cm","56","2001",""
"98","CSIRO-OROUGHYSE-1978-2007-FULTON","SSBmsy-MT","8149.26","2006",""
"99","CSIRO-OROUGHYSE-1978-2007-FULTON","Bpa-MT","19558.224","2006",""
"100","CSIRO-OROUGHYSE-1978-2007-FULTON","Trophiclevel-value","4.2","NULL",""
"101","CSIRO-MORWONGSE-1913-2007-FULTON","SSB-SEX-sex","0","NULL",""
"102","CSIRO-MORWONGSE-1913-2007-FULTON","REC-AGE-yr","0","NULL",""
"103","CSIRO-MORWONGSE-1913-2007-FULTON","REC-ESTIMATED-yr-yr","NA (always models)","NULL",""
"104","CSIRO-MORWONGSE-1913-2007-FULTON","TB-TYPE-0-1","0","NULL",""
"105","CSIRO-MORWONGSE-1913-2007-FULTON","TB-AGE-yr","0","NULL",""
"106","CSIRO-MORWONGSE-1913-2007-FULTON","A50-yr","3","2005",""
"107","CSIRO-MORWONGSE-1913-2007-FULTON","MAT-SEX-sex","0","NULL",""
"108","CSIRO-MORWONGSE-1913-2007-FULTON","MAT-MODEL-option","logistic","2007",""
"109","CSIRO-MORWONGSE-1913-2007-FULTON","MAT-SLOPE-dimensionless","-1","2007",""
"110","CSIRO-MORWONGSE-1913-2007-FULTON","Fecundity-N","100000","NULL","1000000 at 10 yrs"
"111","CSIRO-MORWONGSE-1913-2007-FULTON","Habitat-Habitat","Demersal marine","NULL",""
"112","CSIRO-MORWONGSE-1913-2007-FULTON","L50-cm","24.5","2007",""
"113","CSIRO-MORWONGSE-1913-2007-FULTON","LEN-SEX-sex","0","NULL",""
"114","CSIRO-MORWONGSE-1913-2007-FULTON","Linf-cm","36.39","2005",""
"115","CSIRO-MORWONGSE-1913-2007-FULTON","LW-a-kg/cm","0.0429","2004",""
"116","CSIRO-MORWONGSE-1913-2007-FULTON","LW-b-dimensionless","3","2004",""
"117","CSIRO-MORWONGSE-1913-2007-FULTON","M-1/yr","0.15","2005",""
"118","CSIRO-MORWONGSE-1913-2007-FULTON","MAX-AGE-yr","30","2005",""
"119","CSIRO-MORWONGSE-1913-2007-FULTON","MAX-LEN-cm","50","2005",""
"120","CSIRO-MORWONGSE-1913-2007-FULTON","VB-k-cm/T","0.34","2004",""
"121","CSIRO-MORWONGSE-1913-2007-FULTON","VB-t0-yr","-0.45","2004",""
"122","NWFSC-COWCODSCAL-1900-2007-BRANCH","REC-AGE-yr","0","NULL","Table 25"
"123","CSIRO-MORWONGSE-1913-2007-FULTON","Blim-MT","4784.42","NULL",""
"124","CSIRO-MORWONGSE-1913-2007-FULTON","SSBmsy-MT","11482.608","NULL",""
"125","CSIRO-MORWONGSE-1913-2007-FULTON","Trophiclevel-value","3.83","NULL",""
"126","CSIRO-TIGERFLATSE-1913-2006-FULTON","SSB-SEX-sex","1","NULL",""
"127","CSIRO-TIGERFLATSE-1913-2006-FULTON","REC-AGE-yr","0","NULL",""
"128","CSIRO-TIGERFLATSE-1913-2006-FULTON","REC-ESTIMATED-yr-yr","NA (always models)","NULL",""
"129","CSIRO-TIGERFLATSE-1913-2006-FULTON","TB-TYPE-0-1","0","NULL",""
"130","CSIRO-TIGERFLATSE-1913-2006-FULTON","TB-AGE-yr","0","NULL",""
"131","CSIRO-TIGERFLATSE-1913-2006-FULTON","A50-yr","4","2005",""
"132","CSIRO-TIGERFLATSE-1913-2006-FULTON","MAT-SEX-sex","1","NULL",""
"133","CSIRO-TIGERFLATSE-1913-2006-FULTON","MAT-MODEL-option","logistic","2007",""
"134","CSIRO-TIGERFLATSE-1913-2006-FULTON","MAT-SLOPE-dimensionless","-0.25","2007",""
"135","CSIRO-TIGERFLATSE-1913-2006-FULTON","Fecundity-N","1500000","2001","2500000 max"
"136","CSIRO-TIGERFLATSE-1913-2006-FULTON","Habitat-Habitat","Demersal marine","NULL",""
