"","lme_number","lme_name"
"1",60,"Faroe Plateau"
"2",16,"East Brazil Shelf"
"3",13,"Humboldt Current"
"4",49,"Kuroshio Current"
"5",24,"Celtic-Biscay Shelf"
"6",45,"Northwest Australian Shelf"
"7",-96,"Subantarctic High Seas"
"8",15,"South Brazil Shelf"
"9",31,"Somali Coastal Current"
"10",35,"Gulf of Thailand"
"11",48,"Yellow Sea"
"12",19,"East Greenland Shelf"
"13",10,"Insular Pacific-Hawaiian"
"14",52,"Sea of Okhotsk"
"15",26,"Mediterranean Sea"
"16",14,"Patagonian Shelf"
"17",33,"Red Sea"
"18",-97,"Indian High Seas"
"19",39,"North Australian Shelf"
"20",62,"Black Sea"
"21",21,"Norwegian Sea"
"22",3,"California Current"
"23",7,"Northeast U.S. Continental Shelf"
"24",23,"Baltic Sea"
"25",44,"West Central Australian Shelf"
"26",17,"North Brazil Shelf"
"27",38,"Indonesian Sea"
"28",41,"East Central Australian Shelf"
"29",29,"Benguela Current"
"30",30,"Agulhas Current"
"31",56,"East Siberian Sea"
"32",28,"Guinea Current"
"33",1,"East Bering Sea"
"34",-95,"Caspian Sea"
"35",32,"Arabian Sea"
"36",36,"South China Sea"
"37",18,"West Greenland Shelf"
"38",34,"Bay of Bengal"
"39",5,"Gulf of Mexico"
"40",46,"New Zealand Shelf"
"41",55,"Beaufort Sea"
"42",59,"Iceland Shelf"
"43",63,"Hudson Bay"
"44",27,"Canary Current"
"45",22,"North Sea"
"46",42,"Southeast Australian Shelf"
"47",-94,"Atlantic High Seas hourglass"
"48",61,"Antarctica"
"49",9,"Newfoundland-Labrador Shelf"
"50",58,"Kara Sea"
"51",12,"Caribbean Sea"
"52",54,"Chukchi Sea"
"53",47,"East China Sea"
"54",2,"Gulf of Alaska"
"55",11,"Pacific Central-American Coastal"
"56",51,"Oyashio Current"
"57",4,"Gulf of California"
"58",6,"Southeast U.S. Continental Shelf"
"59",8,"Scotian Shelf"
"60",40,"Northeast Australian Shelf"
"61",-99,"Pacific High Seas"
"62",37,"Sulu-Celebes Sea"
"63",25,"Iberian Coastal"
"64",50,"Sea of Japan"
"65",20,"Barents Sea"
"66",53,"West Bering Sea"
"67",-98,"Atlantic High Seas"
"68",57,"Laptev Sea"
"69",43,"Southwest Australian Shelf"
