"","stockid","lme_number","stocktolmerelation"
"1","COD1",18,"primary"
"2","COD2J3KL",9,"primary"
"3","COD2J3KLIS",9,"primary"
"4","COD3M",9,"primary"
"5","COD3NO",9,"primary"
"6","COD3Ps",9,"primary"
"7","COD3Pn4RS",9,"primary"
"8","COD4T",8,"primary"
"9","COD4VsW",8,"primary"
"10","COD4TVn",8,"primary"
"11","COD4X",7,"primary"
"12","COD4X",8,"secondary"
"13","COD5Y",7,"primary"
"14","COD5Z",7,"primary"
"15","COD5Zjm",7,"primary"
"16","CODNEAR",20,"primary"
"17","CODNEAR",21,"secondary"
"18","CODBA2224",23,"primary"
"19","CODBA2532",23,"primary"
"20","CODVIa",24,"primary"
"21","CODIS",24,"primary"
"22","CODICE",59,"primary"
"23","CODNS",22,"primary"
"24","CODKAT",22,"primary"
"25","CODVIId",24,"primary"
"26","PCODGA",2,"primary"
"27","PCODHS",2,"primary"
"28","PCODWCVANI",2,"primary"
"29","REXSOLEGA",2,"primary"
"30","ARFLOUNDGA",2,"primary"
"31","ARFLOUNDEBS",1,"primary"
"32","FLSOLEGA",2,"primary"
"33","FLSOLEEBS",1,"primary"
"34","NRSOLEEBSAI",1,"primary"
"35","PERCHGA",2,"primary"
"36","PERCHEBSAI",1,"primary"
"37","ALPLAEBS",1,"primary"
"38","NROCKGA",2,"primary"
"39","NROCKEBSAI",1,"primary"
"40","REYEROCKGA",2,"primary"
"41","ATKAGA",2,"primary"
"42","ATKAAI",1,"primary"
"43","AMPL5YZ",7,"primary"
"44","AMPL23K",9,"primary"
"45","AMPL3LNO",9,"primary"
"46","AMPL3M",9,"primary"
"47","AMPL3Ps",9,"primary"
"48","AMPL3Ps",8,"secondary"
"49","HAD4X",7,"primary"
"50","HAD4X",8,"secondary"
"51","HAD4X5Y",7,"primary"
"52","HAD4X5Y",8,"secondary"
"53","HAD5Y",7,"primary"
"54","HAD5Z",7,"primary"
"55","HAD5Zejm",7,"primary"
"56","HADICE",59,"primary"
"57","YELL5Z",7,"primary"
"58","YELL3LNO",7,"primary"
"59","YELL3LNO",8,"secondary"
"60","YELLSNEMATL",7,"primary"
"61","POLL5YZ",7,"primary"
"62","POLL4VWX5Zc",7,"primary"
"63","POLL4VWX5Zc",8,"secondary"
"64","POLL4VWX5",7,"primary"
"65","POLL4VWX5",8,"secondary"
"66","POLL4X5YZ",7,"primary"
"67","POLL4X5YZ",8,"secondary"
"68","WITFLOUN5Y",7,"primary"
"69","WINFLOUND5Y",7,"primary"
"70","WINFLOUNSNEMATL",7,"primary"
"71","WINFLOUN5Z",7,"primary"
"72","WHAKE5YZ",7,"primary"
"73","WINDOW5YZ",7,"primary"
"74","WINDOWSNEMATL",7,"primary"
"75","ACADRED5YZ",7,"primary"
"76","ATHAL5YZ",7,"primary"
"77","CAPENOR",20,"primary"
"78","CAPEICE",59,"primary"
"79","CODFAPL",60,"primary"
"80","CODCOASTNOR",21,"primary"
"81","CODCOASTNOR",22,"secondary"
"82","GHALNEAR",20,"primary"
"83","GHALNEAR",21,"secondary"
"84","POLLNEAR",20,"primary"
