"","mgmt","country","managementauthority"
"1","US State","USA","US state-level management"
"2","CCSBT","Multinational","Commission for the Conservation of Southern Bluefin Tuna"
"3","IATTC","Multinational","Inter-American Tropical Tuna Commission"
"4","ICCAT","Multinational","International Commission for the Conservation of Atlantic Tunas"
"5","ICES","Multinational","International Council for the Exploration of the Sea"
"6","IPHC","Multinational","International Pacific Halibut Commission"
"7","NAFO","Multinational","Northwest Atlantic Fisheries Organization"
"8","TRAC","Multinational","Transboundary Resource Assessment Committee (USA and Canada)"
"9","SPC","Multinational","Secretariat of the Pacific Community"
"10","CCAMLR","Multinational","Commission for the Conservation of Antarctic Marine Living Resources"
"11","IOTC","Multinational","Indian Ocean Tuna Commission"
"12","WPFMC","Multinational","Western Pacific Fishery Management Council"
"13","WCPFC","Multinational","Western and Central Pacific Fisheries Commission"
"14","_","_","_"
"15","GFCMED","Multinational","General Fisheries Council for the Mediterranean"
"16","DETMCM","South Africa","South African national management, Department of Environment and Tourism, Marine and Coastal Management"
"17","SPRFMO","Multinational","South Pacific Regional Fisheries Management Organization"
"18","UNKNOWN","Multinational","Unknown management body"
"19","DFO","Canada","Department of Fisheries and Oceans, Canada national management"
"20","NMFS","USA","National Marine Fisheries Service, US national management"
"21","MFish","New Zealand","Ministry of Fisheries, New Zealand national management"
"22","AFMA","Australia","Australian Fisheries Management Authority, Australia national management"
"23","RFFA","Russia","Russian Federal Fisheries Agency, Russia national management"
"24","CFP","Argentina","Consejo Federal Pesquero, Argentina national management"
"25","IMARPE","Peru","Instituto del Mar del Peru, Peru national management"
"26","Iran","Iran","Iranian national management"
