"","tsn","scientificname","kingdom","phylum","classname","ordername","family","genus","species","myersname","commonname1","commonname2","myersscientificname","myersfamily"
"1",171342,"Anarhichas minor","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas","minor","SPWOLF","Spotted wolffish","NA","NA","NA"
"2",171341,"Anarhichas lupus","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas","lupus","STRWOLF","Striped wolffish","NA","NA","NA"
"3",167123,"Anoplopoma fimbria","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","fimbria","SABLEF","Sablefish","NA","NA","NA"
"4",172750,"Scophthalmus maeoticus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","maeoticus","TURBOT","Black Sea turbot","NA","NA","NA"
"5",168598,"Trachurus capensis","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","capensis","CTRAC","Cape horse mackerel","NA","NA","NA"
"6",168590,"Trachurus mediterraneus","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","mediterraneus","MTRAC","Mediterranean horse mackerel","NA","NA","NA"
"7",168586,"Trachurus symmetricus","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","symmetricus","STRAC","Pacific jack mackerel","South Pacific horse mackerel","NA","NA"
"8",168588,"Trachurus trachurus","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","trachurus","TRAC","Horse mackerel","Atlantic horse mackerel","NA","NA"
"9",642743,"Champsocephalus gunnari","Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Champsocephalus","gunnari","CGUN","Mackerel icefish","NA","NA","NA"
"10",642960,"Pseudochaenichthys georgianus","Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Pseudochaenichthys","georgianus","PSGEOR","South Georgia icefish","NA","NA","NA"
"11",161703,"Alosa aestivalis","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","aestivalis","ALOSA","Blueback shad","Blueback herring","NA","NA"
"12",551288,"Alosa kessleri","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","kessleri","ALOSK","Caspian anadromous shad","Black sea shad","NA","NA"
"13",161706,"Alosa pseudoharengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","pseudoharengus","ALEWIFE","Alewife","Gaspareau","NA","NA"
"14",161702,"Alosa sapidissima","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","sapidissima","ATLALEWIFE","Atlantic shad","American shad","NA","NA"
"15",161732,"Brevoortia tyrannus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","tyrannus","MENAT","Atlantic menhaden","NA","NA","NA"
"16",161734,"Brevoortia patronus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Brevoortia","patronus","MENGF","Gulf menhaden","NA","NA","NA"
"17",161722,"Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","harengus","HERR","Herring","Atlantic herring","NA","NA"
"18",551209,"Clupea pallasii","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea","pallasii","PHERR","Pacific herring","NA","NA","NA"
"19",161813,"Sardina pilchardus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardina","pilchardus","SARDP","European pilchard","Spanish sardine","NA","NA"
"20",572698,"Sardinella janeiro","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","janeiro","SARDJ","Brazilian sardinella","Brazilian sardine","NA","NA"
"21",161729,"Sardinops sagax","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","sagax","SARD","Sardine","Pacific sardine","NA","NA"
"22",161789,"Sprattus sprattus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sprattus","sprattus","SPRAT","Sprat","NA","NA","NA"
"23",692068,"Scorpaenichthys marmoratus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","CABEZ","Cabezon","NA","NA","NA"
"24",167207,"Artediellus uncinatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artediellus","uncinatus","AHSCULPIN","Arctic hookear sculpin","NA","NA","NA"
"25",167439,"Aspidophoroides monopterygius","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Aspidophoroides","monopterygius","ALLIGATORFISH","Alligatorfish","NA","NA","NA"
"26",167408,"Cottunculus microps","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Psychrolutidae","Cottunculus","microps","ARCSCULPIN","Arctic sculpin","NA","NA","NA"
"27",551435,"Coilia dussumieri","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Coilia","dussumieri","GANCHO","Goldspotted grenadier anchovy","NA","NA","NA"
"28",161831,"Engraulis encrasicolus","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","encrasicolus","ANCHO","Anchovy","European anchovy","NA","NA"
"29",161828,"Engraulis mordax","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","NANCHO","Northern anchovy","Californian anchovy","NA","NA"
"30",551340,"Engraulis ringens","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","ringens","PEANCHO","Peruvian anchoveta","Anchoveta","NA","NA"
"31",551338,"Engraulis anchoita","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","anchoita","ARGANCHO","Argentine anchoita","Anchoita","NA","NA"
"32",164712,"Gadus morhua","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","morhua","COD","Atlantic cod","NA","NA","NA"
"33",164706,"Boreogadus saida","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","ARCCOD","Arctic cod","NA","NA","NA"
"34",164711,"Gadus macrocephalus","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","macrocephalus","PCOD","Pacific cod","NA","NA","NA"
"35",164744,"Melanogrammus aeglefinus","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Melanogrammus","aeglefinus","HAD","Haddock","NA","NA","NA"
"36",164758,"Merlangius merlangus","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Merlangius","merlangus","WHIT","Whiting","NA","NA","NA"
"37",164774,"Micromesistius poutassou","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","poutassou","BWHIT","Blue whiting","NA","NA","NA"
"38",164775,"Micromesistius australis","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Micromesistius","australis","SBWHIT","Southern blue whiting","NA","Polaca","NA"
"39",164727,"Pollachius virens","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","virens","POLL","Pollock","Saithe","NA","NA"
"40",164722,"Theragra chalcogramma","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Theragra","chalcogramma","WPOLL","Walleye pollock","NA","NA","NA"
"41",164756,"Trisopterus esmarkii","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Trisopterus","esmarkii","NPOUT","Norway Pout","NA","NA","NA"
"42",167120,"Pleurogrammus monopterygius","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Pleurogrammus","monopterygius","ATKA","Atka mackerel","NA","NA","NA"
